,0,1,2,3,4,5,6,7,8,9
0,7.33276,7.72813,7.78105,7.82336,7.96148,8.02322,8.122,8.09972,8.21269,8.34135
1,7.65972,7.81403,7.93514,8.03624,8.15762,8.21889,8.32945,8.26975,8.3616,8.44954
2,7.71273,7.90449,7.95115,8.04063,8.11383,8.21354,8.30162,8.34116,8.37183,8.36304
3,7.30515,7.51327,7.62916,7.72096,7.81969,7.77351,7.88631,8.00935,8.04817,8.1057
4,7.84851,8.12476,8.33135,8.4715,8.5445,8.6472,8.72858,8.84389,8.87672,8.90057
5,7.5717740000000004,7.816936,7.925569999999999,8.018538,8.119423999999999,8.175272,8.273592,8.312774000000001,8.374202,8.43204
